Denominacao - GBS,,n_bag,,nome,TA (teor de amilose) Goiania 2004,TA Goiania 2005,TA Uruguaiana,TA Boa Vista,TA Pelotas 2005,TA Vilhena
273,TERRAS ALTAS,CA210005,BGA 11224,MATO GROSSO,23,19,20,19,21,21
274,TERRAS ALTAS,CA210006,BGA 11225,PRETO,23,23,20,22,22,23
275,TERRAS ALTAS,CA210011,BGA 11230,BRANCO PRECOCE,26,25,24,24,26,26
276,TERRAS ALTAS,CA210023,BGA 11242,AMARELAO,26,25,22,22,25,25
282,TERRAS ALTAS,CA780009,BGA 11889,OURINHO,27,24,22,22,23,27
283,TERRAS ALTAS,CA780017,BGA 11897,BRANQUINHO 90 DIAS,25,24,22,22,23,26
284,TERRAS ALTAS,CA780019,BGA 11899,SEQUEIRO,24,25,23,25,25,26
285,TERRAS ALTAS,CA780021,BGA 11901,3 MESES BRANCO,27,23,24,22,23,24
287,TERRAS ALTAS,CA780022,BGA 11902,GUAPINHA,23,26,22,24,22,24
288,TERRAS ALTAS,CA780033,BGA 11913,ENCHE TULHA,24,25,23,23,21,27
290,TERRAS ALTAS,CA780051,BGA 11931,CATETO BICO PRETO,23,22,21,24,24,24
291,TERRAS ALTAS,CA780052,BGA 11932,CATETO AMARELO,28,25,22,22,24,28
293,TERRAS ALTAS,CA780061,BGA 11941,TRES POTES,29,24,28,27,24,27
294,TERRAS ALTAS,CA780071,BGA 11951,COMUM,22,24,23,23,22,26
319,TERRAS ALTAS,CA780261,BGA 12141,PRATA BRANCO,26,24,,23,23,23
321,TERRAS ALTAS,CA780269,BGA 12149,PIOJOTA,31,28,25,28,,27
328,TERRAS ALTAS,CA780300,BGA 12180,ARCOS BRANCO,25,25,23,25,23,27
330,TERRAS ALTAS,CA780309,BGA 12189,ARROZ DE GUERRA,28,24,21,24,23,23
331,TERRAS ALTAS,CA780311,BGA 12191,CHATINHO BRANCO,24,25,24,25,25,27
332,TERRAS ALTAS,CA780313,BGA 12193,AMAREL�O PRECOCE,27,25,24,20,22,26
334,TERRAS ALTAS,CA780319,BGA 12199,CAROLINA,26,26,,24,24,24
337,TERRAS ALTAS,CA780333,BGA 12213,CAMPINEIRO,28,26,24,25,24,26
340,TERRAS ALTAS,CA780365,BGA 12245,DOURADINHO,24,24,24,24,24,25
343,TERRAS ALTAS,CA780388,BGA 12268,HIPE,26,26,,30,,28
344,TERRAS ALTAS,CA780391,BGA 12271,BRANQUINHO,23,24,,26,,24
347,TERRAS ALTAS,CA780396,BGA 12276,MOGI,26,26,22,24,24,25
348,TERRAS ALTAS,CA780397,BGA 12277,SAQUAREMA,23,24,22,24,24,23
350,TERRAS ALTAS,CA780402,BGA 12282,ARROZ DE 64 DIAS,27,22,,22,20,
353,TERRAS ALTAS,CA790003,BGA 12295,VERMELHO,25,25,21,28,24,25
354,TERRAS ALTAS,CA790006,BGA 12298,RABO DE BURRO,22,25,22,25,23,24
357,TERRAS ALTAS,CA790012,BGA 12304,MARAB�,24,25,23,26,25,24
358,TERRAS ALTAS,CA790021,BGA 12313,MEARIN MI�DO,28,28,21,26,24,28
359,TERRAS ALTAS,CA790031,BGA 12323,VERMELHO,26,24,23,27,23,24
360,TERRAS ALTAS,CA790044,BGA 12336,COME CR�,25,27,22,25,24,26
361,TERRAS ALTAS,CA790048,BGA 12340,CUTI�O BRANCO,27,27,23,24,25,26
362,TERRAS ALTAS,CA790052,BGA 12344,LIGEIRO VERMELHO,25,19,23,23,23,26
363,TERRAS ALTAS,CA790061,BGA 12353,CUTI�O VERMELHO,23,24,21,25,25,25
364,TERRAS ALTAS,CA790064,BGA 12356,AGULHA,28,27,23,25,23,26
365,TERRAS ALTAS,CA790095,BGA 12387,MUCU�M,22,24,24,26,23,22
366,TERRAS ALTAS,CA790098,BGA 12390,BACABA,24,25,22,26,22,27
368,TERRAS ALTAS,CA790116,BGA 12408-2,7 SEMANAS,27,24,24,23,23,27
370,TERRAS ALTAS,CA790127,BGA 12419,ZEBU,24,25,21,29,24,23
371,TERRAS ALTAS,CA790134,BGA 12426,RABO DE BURRO,31,29,26,28,,28
372,TERRAS ALTAS,CA790157,BGA 12449,BACABINHA,24,26,23,24,24,25
374,TERRAS ALTAS,CA790168,BGA 12460,BURITI,22,24,,26,24,23
375,TERRAS ALTAS,CA790178,BGA 12470,TALO ROXO,23,26,23,25,24,23
376,TERRAS ALTAS,CA790181,BGA 12473,PINDAR�,,24,22,29,25,24
